zone_code,tree_cover_ratio,grassland_ratio,builtup_landcover_ratio,bare_sparse_ratio,water_ratio,dominant_landcover_class,landcover_source,landcover_warning
NSR-GRID-161,0.0,0.002310623977209091,0.8509620350888641,0.14672734093392686,0.0,50,esa_worldcover_v200,
NSR-GRID-162,0.0,0.0,0.7260143639259952,0.273985636074005,0.0,50,esa_worldcover_v200,
NSR-GRID-163,0.0018484991817672726,0.00046212479544181816,0.8707536621124722,0.12693571391031866,0.0,50,esa_worldcover_v200,
NSR-GRID-164,0.004159123158976364,0.0,0.9075569183706388,0.08828395847038499,0.0,50,esa_worldcover_v200,
NSR-GRID-165,0.0,0.0,0.99491662725014,0.00508337274986,0.0,50,esa_worldcover_v200,
NSR-GRID-166,0.0,0.050474901186845174,0.885927665689862,0.06267318353240942,0.0,50,esa_worldcover_v200,
NSR-GRID-167,0.0,0.0013863743863254546,0.7888198420076875,0.20979378360598666,0.0,50,esa_worldcover_v200,
NSR-GRID-168,0.0,0.005103307544957489,0.8736949505164018,0.12120174193864061,0.0,50,esa_worldcover_v200,
NSR-GRID-169,0.0,0.04010155871975119,0.7743218092095129,0.18068173374725177,0.0,50,esa_worldcover_v200,
NSR-GRID-170,0.0,0.10815532467438317,0.5547636005139553,0.32718797968100755,0.0,49,esa_worldcover_v200,
NSR-GRID-171,0.0,0.00611092082443063,0.22300149148512402,0.7579698404672719,0.0,59,esa_worldcover_v200,
NSR-GRID-172,0.0,0.0,0.650420708998115,0.34957929100188506,0.0,50,esa_worldcover_v200,
NSR-GRID-173,0.0,0.0,0.16563222771805505,0.8343677722819448,0.0,60,esa_worldcover_v200,
NSR-GRID-174,0.0,0.0,0.9652397646868385,0.0347602353131616,0.0,50,esa_worldcover_v200,
NSR-GRID-175,0.00786587191421024,0.0,0.9888952396505267,0.00323888843526304,0.0,50,esa_worldcover_v200,
NSR-GRID-176,0.002533760822402953,0.024975124558449708,0.969201575354011,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-177,0.007497974622518611,0.0,0.9925020253774812,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-178,0.0,0.0,0.9833619997498861,0.01663800025011381,0.0,50,esa_worldcover_v200,
NSR-GRID-179,0.014327166882042448,0.0,0.984748499770729,0.000924333347228545,0.0,50,esa_worldcover_v200,
NSR-GRID-180,0.004159500062528453,0.0,0.9875214998124147,0.008319000125056906,0.0,50,esa_worldcover_v200,
NSR-GRID-181,0.0004621666736142725,0.0,0.9995378333263857,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-182,0.0,0.004159500062528453,0.9895060978814645,0.006334402056007381,0.0,50,esa_worldcover_v200,
NSR-GRID-183,0.008781166798671178,0.0032351667152999077,0.9508363404374098,0.03714732604862011,0.0,50,esa_worldcover_v200,
NSR-GRID-184,0.006008166756985543,0.004621666736142726,0.9072621789980639,0.08164582083519907,0.0,49,esa_worldcover_v200,
NSR-GRID-185,0.0,0.004485735361550291,0.8098211324352237,0.18569313220323105,0.0,49,esa_worldcover_v200,
NSR-GRID-186,0.0,0.006470333430599815,0.9935296665694002,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-187,0.0,0.0,0.994916166590243,0.005083833409756998,0.0,50,esa_worldcover_v200,
NSR-GRID-188,0.0,0.0,0.9732215192052911,0.02677848079470932,0.0,50,esa_worldcover_v200,
NSR-GRID-189,0.0004621666736142725,0.0,0.9330238931108218,0.06651394021556938,0.0,49,esa_worldcover_v200,
NSR-GRID-190,0.0,0.0,0.8255166751548301,0.17448332484517506,0.0,50,esa_worldcover_v200,
NSR-GRID-191,0.0,0.0,0.45282546955228065,0.5471745304477247,0.0,60,esa_worldcover_v200,
NSR-GRID-192,0.0,0.0,0.08912385885611072,0.910876141143894,0.0,60,esa_worldcover_v200,
NSR-GRID-193,0.0,0.0,1.0,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-194,0.0,0.01916864968862337,0.7138271479925068,0.26700420231887007,0.0,50,esa_worldcover_v200,
NSR-GRID-195,0.02969869695682555,0.0,0.9539961360864859,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-196,0.0,0.05702526717172378,0.577819191547607,0.35972527482787653,0.0,50,esa_worldcover_v200,
NSR-GRID-197,0.10634106560347953,0.007169264226168903,0.8672562522653138,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-198,0.2735628851032983,0.012939470822761872,0.6638365349764405,0.0023106197897789058,0.0,50,esa_worldcover_v200,
NSR-GRID-199,0.008318231243204062,0.0,0.9653407031533164,0.005545487495469374,0.0,50,esa_worldcover_v200,
NSR-GRID-200,0.0073939833272924985,0.0,0.9926060166727075,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-201,0.03439833272924974,0.0,0.9622816237767308,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-202,0.045324392895976805,0.0,0.9287966654584993,0.022729249728162385,0.0,50,esa_worldcover_v200,
NSR-GRID-203,0.0,0.008780355201159842,0.8106578470460313,0.17919354838709675,0.0,50,esa_worldcover_v200,
NSR-GRID-204,0.0046212395795578115,0.0017451975353388915,0.9416527727437475,0.0408716926422617,0.0,50,esa_worldcover_v200,
NSR-GRID-205,0.0,0.013504893077201886,0.8483381660021745,0.13769481696266767,0.0,50,esa_worldcover_v200,
NSR-GRID-206,0.0,0.008265675969554187,0.9755599855019934,0.01617433852845234,0.0,50,esa_worldcover_v200,
NSR-GRID-207,0.0,0.0001884740848133382,0.9770822761870241,0.022729249728162385,0.0,50,esa_worldcover_v200,
NSR-GRID-208,0.0,0.0,0.9973124320405944,0.0026875679594055824,0.0,50,esa_worldcover_v200,
NSR-GRID-209,0.0,0.0,0.9893439652047842,0.010656034795215659,0.0,50,esa_worldcover_v200,
NSR-GRID-210,0.00046212395795578115,0.0,0.9768557448350852,0.022682131206959052,0.0,50,esa_worldcover_v200,
NSR-GRID-211,0.0018484958318231246,0.0,0.9939923885465748,0.004159115621602031,0.0,50,esa_worldcover_v200,
NSR-GRID-212,0.0,0.0015096049293222185,0.8033544762595144,0.19486226893802105,0.0,50,esa_worldcover_v200,
NSR-GRID-213,0.0,0.10324162008073134,0.7353813176394481,0.14237697666528204,0.0,49,esa_worldcover_v200,
NSR-GRID-214,0.017841606687636506,0.0,0.9821583933123635,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-215,0.11789115843493085,0.024611849639755767,0.8367159072788111,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-216,0.14097360142647913,0.0010274568359403269,0.827526782737271,0.023104188109769257,0.0,50,esa_worldcover_v200,
NSR-GRID-217,0.0050829213841492365,0.0,0.9639574665487596,0.030959612067090803,0.0,50,esa_worldcover_v200,
NSR-GRID-218,0.026800858207332336,0.0,0.9731991417926676,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-219,0.00022469955494991276,0.0,0.9268004957886911,0.07297480465635421,0.0,50,esa_worldcover_v200,
NSR-GRID-220,0.0018483350487815404,0.0009241675243907702,0.9304899175135132,0.06627549615111365,0.0,50,esa_worldcover_v200,
NSR-GRID-221,0.0009241675243907702,0.0,0.9395431350661726,0.05953269740943131,0.0,50,esa_worldcover_v200,
NSR-GRID-222,0.0,0.0,0.8871283396877353,0.11287166031225934,0.0,50,esa_worldcover_v200,
NSR-GRID-223,0.0013862512865861554,0.0,0.995014931647845,0.003598817065568764,0.0,50,esa_worldcover_v200,
NSR-GRID-224,0.0004620837621953851,0.0,0.9995379162378046,0.0,0.0,50,esa_worldcover_v200,
NSR-GRID-225,0.0,0.0,0.8907652107101915,0.10923478928980394,0.0,50,esa_worldcover_v200,
NSR-GRID-226,0.017559182963424635,0.0009241675243907702,0.7605192009393846,0.2209974485727947,0.0,50,esa_worldcover_v200,
NSR-GRID-227,0.002772502573172311,0.0,0.9949170786158508,0.0023104188109769257,0.0,50,esa_worldcover_v200,
