zone_code,population_sum,population_mean,population_source,population_warning,population_density_proxy
NSR-GRID-304,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-305,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-306,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-307,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-308,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-309,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-310,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-311,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-312,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-313,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-314,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-315,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-316,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-317,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-318,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-319,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-320,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-321,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-322,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-323,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-324,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-325,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-326,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-327,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-328,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-329,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-330,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-331,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-332,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-333,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-334,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-335,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-336,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-337,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-338,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-339,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-340,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-341,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-342,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-343,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-344,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-345,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-346,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-347,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-348,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-349,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-350,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-351,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-352,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-353,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-354,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-355,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-356,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-357,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-358,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-359,0.0,0.0,worldpop_100m,,0.0
NSR-GRID-360,0.0,0.0,worldpop_100m,,0.0
