zone_code,zone_area_m2,zone_area_km2,road_count,road_length_m,road_density_m_per_km2,primary_road_count,secondary_road_count,tertiary_road_count,residential_road_count,service_road_count,unknown_road_count,avg_base_speed_kph,avg_base_travel_time_sec,intersection_proxy_count
NSR-GRID-231,68583.19683972541,0.06858319683972541,4,851.8789655930025,12421.103197971212,0,0,0,0,0,4,75.70894909688013,10.311034196152105,4
NSR-GRID-232,99226.7463629456,0.09922674636294561,18,862.305009123913,8690.24774801973,0,0,0,0,0,18,23.5,7.338766035097131,11
NSR-GRID-233,249999.99999953434,0.24999999999953434,55,7440.040624487087,29760.16249800378,0,0,0,0,0,55,25.568248992386923,19.287048742024382,31
NSR-GRID-234,249999.9999993015,0.2499999999993015,78,6508.061688415029,26032.24675373285,0,0,0,0,0,78,31.764157298640058,11.106297557586846,39
NSR-GRID-235,249999.99999953434,0.24999999999953434,3,638.8934190688025,2555.5736762799697,0,0,0,0,0,3,73.044061302682,10.954886134786827,6
NSR-GRID-236,249999.99999953434,0.24999999999953434,6,1015.1335985533029,4060.534394220775,0,0,0,0,0,6,48.778598795840175,10.384194217911546,5
NSR-GRID-237,249999.99999976717,0.24999999999976716,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-238,249999.99999953434,0.24999999999953434,15,1061.1308557938403,4244.523423183267,0,0,0,0,0,15,70.71882868089764,3.4472118018993942,13
NSR-GRID-239,249999.99999953434,0.24999999999953434,21,5036.02684551877,20144.1073821126,0,0,0,0,0,21,59.57639377590117,12.72215036739347,23
NSR-GRID-240,249999.9999993015,0.2499999999993015,76,4938.908381009353,19755.63352409261,0,0,0,0,0,76,35.972992826894824,7.872898734601456,43
NSR-GRID-241,249999.99999953434,0.24999999999953434,220,10913.842082803696,43655.3683312961,0,0,0,0,0,220,27.291789819376028,7.008778522862654,97
NSR-GRID-242,249999.99999953434,0.24999999999953434,317,13046.52879877896,52186.11519521304,0,0,0,0,0,317,25.294222312007584,6.028373978086704,130
NSR-GRID-243,249999.99999976717,0.24999999999976716,154,7543.0910601621445,30172.364240676678,0,0,0,0,0,154,31.56605463502015,5.970072233541301,73
NSR-GRID-244,249999.99999953434,0.24999999999953434,28,2131.936735238043,8527.746940968056,0,0,0,0,0,28,52.23560286183439,6.288827696667091,17
NSR-GRID-245,249999.99999953434,0.24999999999953434,35,3418.146205763017,13672.584823077535,0,0,0,0,0,35,49.41400422237861,6.945376742172578,22
NSR-GRID-246,249999.9999993015,0.2499999999993015,69,6700.732989259775,26802.93195711399,0,0,0,0,0,69,31.995764022750528,12.118501355520271,35
NSR-GRID-247,249999.99999953434,0.24999999999953434,55,5144.76449722271,20579.05798892917,0,0,0,0,0,55,25.568248992386923,13.827949268818578,28
NSR-GRID-248,249999.99999953434,0.24999999999953434,54,5423.49340048023,21693.973601961326,0,0,0,0,0,54,32.62838289849784,12.862879503030141,30
NSR-GRID-249,23310.75947505367,0.02331075947505367,17,528.4095307341761,22668.052977838874,0,0,0,0,0,17,25.730464599632956,4.708002895959816,12
NSR-GRID-250,35468.3465495468,0.035468346549546795,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-251,240098.78764469648,0.24009878764469647,120,8258.83986850412,34397.67418037001,0,0,0,0,0,120,29.18768472906404,9.939031351573037,57
NSR-GRID-252,249999.9999993015,0.2499999999993015,143,8627.301405268085,34509.20562116876,0,0,0,0,0,143,28.538042417352763,8.638153318240247,65
NSR-GRID-253,249999.99999953434,0.24999999999953434,78,5575.275023795435,22301.10009522328,0,0,0,0,0,78,35.65317249800008,9.249646996739457,45
NSR-GRID-254,249999.99999953434,0.24999999999953434,35,2126.6345541653736,8506.53821667734,0,0,0,0,0,35,46.25073891625616,6.0511115449891415,21
NSR-GRID-255,249999.99999976717,0.24999999999976716,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-256,249999.99999953434,0.24999999999953434,18,2587.4845457504725,10349.938183021168,0,0,0,0,0,18,49.642081736909326,11.547721675537039,17
NSR-GRID-257,249999.99999953434,0.24999999999953434,35,4035.7810597648995,16143.124239089666,0,0,0,0,0,35,25.666737039643444,17.294662858757256,24
NSR-GRID-258,249999.9999993015,0.2499999999993015,71,4694.349837218168,18777.399348925137,0,0,0,0,0,71,31.51082356206203,8.127968421803827,40
NSR-GRID-259,249999.99999953434,0.24999999999953434,87,6327.428593239156,25309.714373003764,0,0,0,0,0,87,40.06184059037805,7.951503780277254,51
NSR-GRID-260,249999.99999953434,0.24999999999953434,93,6958.8632494706735,27835.452997934543,0,0,0,0,0,93,32.062106043752316,9.694481011522425,54
NSR-GRID-261,249999.99999976717,0.24999999999976716,72,5157.5873465728155,20630.349386310478,0,0,0,0,0,72,45.1654921547163,6.484794414218488,45
NSR-GRID-262,249999.99999953434,0.24999999999953434,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-263,249999.99999953434,0.24999999999953434,0,0.0,0.0,0,0,0,0,0,0,50.0,0.0,0
NSR-GRID-264,249999.9999993015,0.2499999999993015,40,3126.816943699532,12507.267774833073,0,0,0,0,0,40,61.68197865353038,5.817421381265754,27
NSR-GRID-265,249999.99999953434,0.24999999999953434,72,7188.575131599397,28754.300526451145,0,0,0,0,0,72,36.33929711731436,12.179663523345788,40
