zone_code,built_surface_mean,built_surface_sum,built_surface_max,built_surface_nres_mean,built_surface_nres_sum,builtup_source,builtup_warning
NSR-GRID-232,3998.571352218066,29338.537254901963,5718.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-233,4302.962492053402,79630.11764705881,5718.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-234,4335.677897859718,80235.54509803922,5966.0,1.8747616020343298,34.694117647058825,ghsl_p2023a_2020,
NSR-GRID-235,4145.411104047469,76714.49019607843,8196.0,1139.621106166561,21089.694117647057,ghsl_p2023a_2020,
NSR-GRID-236,3067.915272188096,56798.54117647058,8196.0,974.7324719339125,18045.929411764704,ghsl_p2023a_2020,
NSR-GRID-237,546.378470014834,10111.215686274512,4650.0,10.019919474464933,185.42745098039217,ghsl_p2023a_2020,
NSR-GRID-238,2054.3402542372887,38025.43529411765,5197.0,10.122033898305089,187.35686274509806,ghsl_p2023a_2020,
NSR-GRID-239,2805.3021186440683,51925.59215686274,5569.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-240,2457.4784912057653,45477.80784313726,5023.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-241,3666.340186519714,67834.48235294118,4953.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-242,4470.939830508475,82756.21960784312,5106.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-243,3087.484739296313,57124.52156862745,5431.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-244,321.7565677966102,5955.650980392157,4356.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-245,1980.5369781733425,36651.58431372549,6192.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-246,3573.957645065651,66181.2862745098,6623.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-247,3036.747616020345,56197.69411764707,5489.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-248,3342.9268757948294,61850.70196078432,4964.0,0.18736752861381947,3.466666666666667,ghsl_p2023a_2020,
NSR-GRID-249,3876.593818984548,6886.654901960784,5233.0,2.589403973509934,4.6,ghsl_p2023a_2020,
NSR-GRID-250,790.8671532846714,2124.486274509804,2383.0,0.0,0.0,ghsl_p2023a_2020,
NSR-GRID-251,4153.218146718147,75930.6,5483.0,15.515873015873018,283.6666666666667,ghsl_p2023a_2020,
