zone_code,zone_risk_score,zone_risk_class,origin_lon,origin_lat,best_facility_id,best_facility_name,best_facility_type,facility_lon,facility_lat,normal_distance_m,safe_distance_m,normal_weather_eta_sec,safe_weather_eta_sec,risk_reduction_percent,eta_tradeoff_percent,safe_route_available,safe_route_quality,route_found,warning
NSR-GRID-229,0.902916413004433,high,31.39636706378105,30.04690062291493,FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,2460.0647654628174,2958.843696582441,1295.7962628924656,1133.2687538154537,13.15186569645157,6.625630123035315,True,accepted,True,
NSR-GRID-012,0.9017703966638384,high,31.346815237185677,30.08066925177907,FAC-028,مستشفى عبدالقادر فهمي,hospital,31.3444783,30.0784848,605.8002703342664,605.8002703342664,251.58869059951272,251.58869059951272,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-204,0.90164385676851,high,31.364926028836873,30.050788526250077,FAC-016,مركز طبي الحى الثامن,hospital,31.3576391,30.0553351,1514.9060501215079,1514.9060501215079,643.0354933660038,643.0354933660038,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-224,0.9011797846043194,high,31.373909181678062,30.04690062291493,FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,641.1476781288684,641.1476781288684,329.220693931336,329.220693931336,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-019,0.9009022535813596,high,31.355638887881206,30.080229886398225,FAC-028,مستشفى عبدالقادر فهمي,hospital,31.3444783,30.0784848,1897.5604970783572,1897.5604970783572,738.0402890813418,738.0402890813418,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-160,0.9006633592250072,high,31.36043445241628,30.05856387504028,FAC-015,ايجيكير,hospital,31.3603878,30.0597161,169.55009631161445,169.55009631161445,141.4125721119934,141.4125721119934,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-132,0.9004306468098184,high,31.328993417472095,30.062451320471524,FAC-004,Nasr City Emergency Hospital,hospital,31.3270141,30.062687,145.43303200513014,145.43303200513014,165.43186126419357,165.43186126419357,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-187,0.9003702291154884,high,31.382892334519266,30.05467627696249,FAC-044,مستشفي الماسة,hospital,31.37919952782694,30.0532517,643.0400098561357,643.0400098561357,604.7483221838536,604.7483221838536,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-210,0.8987816824950886,high,31.391875487360455,30.050788526250077,FAC-040,برج معمل الفا لاب الطبى,hospital,31.378350657378334,30.04929315,1485.648726964552,1485.648726964552,497.3936649396813,497.3936649396813,0.0,0.0,True,weak_but_valid,True,
NSR-GRID-252,0.8981410995975997,high,31.33797657031329,30.03912435842413,FAC-007,عيادة د. احمد العساف,clinic,31.3392842,30.0464585,2211.2498101633587,2211.2498101633587,1158.1172888323463,1158.1172888323463,0.0,0.0,True,weak_but_valid,True,
