zone_code,event_count,mean_predicted_score,max_predicted_score,min_predicted_score,high_risk_event_count,medium_risk_event_count,low_risk_event_count,high_risk_event_ratio,mean_absolute_error,mean_rain_24h_mm,max_rain_24h_mm,mean_gpm_precipitation_sum,mean_built_surface_mean,mean_population_sum,dominant_risk_class
NSR-GRID-079,30,0.2750150141472452,0.6167437399292436,0.1548008873985884,0,7,23,0.0,0.004807299247582944,10.506666666666668,44.9,0.0,95.9598629466471,0.0,low
NSR-GRID-080,30,0.5425354087876767,0.8837920418614482,0.4193475261313987,5,25,0,0.16666666666666666,0.004434785064008613,10.506666666666668,44.9,0.0,3586.229744426319,0.0,medium
NSR-GRID-081,30,0.26117665938174583,0.6032409146679878,0.1394740431077058,0,7,23,0.0,0.004781472546711704,10.506666666666668,44.9,0.0,7.52832590706556,0.0,low
NSR-GRID-082,30,0.555970282118898,0.8961005821656619,0.4346692867021606,5,25,0,0.16666666666666666,0.004103242180545486,10.506666666666668,44.9,0.0,3794.1447954208165,0.0,medium
NSR-GRID-083,30,0.5528278760057399,0.8931746659160386,0.4310789982369721,5,25,0,0.16666666666666666,0.004236031392283536,10.506666666666668,44.9,0.0,3622.013143947423,0.0,medium
NSR-GRID-084,30,0.5301044791422272,0.8704707754123637,0.4085973440624137,5,25,0,0.16666666666666666,0.004029546950905618,10.506666666666668,44.9,0.0,3614.1865197117427,0.0,medium
NSR-GRID-085,30,0.5200866412440542,0.8617977733216442,0.3975520556595207,5,25,0,0.16666666666666666,0.003914529300673075,10.506666666666668,44.9,0.0,3692.5317796610166,0.0,medium
NSR-GRID-086,30,0.4782283772313804,0.8217500342752626,0.353177422151718,5,25,0,0.16666666666666666,0.005898167549994568,10.506666666666668,44.9,0.0,3574.9794404408635,0.0,medium
NSR-GRID-087,30,0.5349263552774934,0.8738174050545674,0.4138603001486133,5,25,0,0.16666666666666666,0.004183157960397855,10.506666666666668,44.9,0.0,3703.492372881356,0.0,medium
NSR-GRID-088,30,0.440055079246315,0.7859525804036792,0.3150803430362353,4,16,10,0.13333333333333333,0.005225382598634321,10.506666666666668,44.9,0.0,2694.199194744649,0.0,medium
NSR-GRID-089,30,0.5009816540122249,0.8375736564856728,0.3817008232844011,5,25,0,0.16666666666666666,0.005383592737095456,10.506666666666668,44.9,0.0,3143.5584745762712,0.0,medium
NSR-GRID-090,30,0.459993037726634,0.7986795613854419,0.3396089809898592,4,26,0,0.13333333333333333,0.004404599866804015,10.506666666666668,44.9,0.0,2340.6091564222133,0.0,medium
NSR-GRID-091,30,0.4227366891102646,0.7629799715082225,0.3016817728104873,3,17,10,0.1,0.00407863678966846,10.506666666666668,44.9,0.0,1904.8467895740616,0.0,medium
NSR-GRID-092,30,0.567646219843952,0.90738476194542,0.4469023529791102,6,24,0,0.2,0.004313464516088072,10.506666666666668,44.9,0.0,4137.173553719009,0.0,medium
NSR-GRID-093,30,0.4541111534751966,0.795518847831729,0.3323153062774261,4,26,0,0.13333333333333333,0.003689771284076962,10.506666666666668,44.9,0.0,2325.030514939606,0.0,medium
NSR-GRID-094,30,0.5129521691847462,0.8522784368788828,0.3927200173109434,5,25,0,0.16666666666666666,0.004859701946360441,10.506666666666668,44.9,0.0,3156.540907164051,0.0,medium
NSR-GRID-095,30,0.4585994012125307,0.7999690682322221,0.337678577461744,4,26,0,0.13333333333333333,0.004117184312709952,10.506666666666668,44.9,0.0,2299.056355932204,0.0,medium
